"No.","Time","Source","Destination","Protocol","Length","Info"
"1773","21.011157","host","1.6.4","USBCOM","28","URB_BULK out"
"1775","21.015477","1.6.3","host","USBCOM","71","URB_BULK in"
"1779","21.019361","1.6.3","host","USBCOM","37","URB_BULK in"
"1811","21.211902","host","1.6.4","USBCOM","28","URB_BULK out"
"1813","21.216197","1.6.3","host","USBCOM","70","URB_BULK in"
"1817","21.220033","1.6.3","host","USBCOM","38","URB_BULK in"
"1857","21.412076","host","1.6.4","USBCOM","28","URB_BULK out"
"1859","21.412481","1.6.3","host","USBCOM","28","URB_BULK in"
"1865","21.416897","1.6.3","host","USBCOM","75","URB_BULK in"
"1869","21.420707","1.6.3","host","USBCOM","32","URB_BULK in"
"1921","21.613810","host","1.6.4","USBCOM","28","URB_BULK out"
"1925","21.617493","1.6.3","host","USBCOM","64","URB_BULK in"
"1929","21.621454","1.6.3","host","USBCOM","44","URB_BULK in"
"1971","21.815989","host","1.6.4","USBCOM","28","URB_BULK out"
"1973","21.818306","1.6.3","host","USBCOM","47","URB_BULK in"
"1977","21.822245","1.6.3","host","USBCOM","61","URB_BULK in"
"1985","22.016248","host","1.6.4","USBCOM","28","URB_BULK out"
"1987","22.018806","1.6.3","host","USBCOM","51","URB_BULK in"
"1991","22.022930","1.6.3","host","USBCOM","57","URB_BULK in"
"1995","22.217752","host","1.6.4","USBCOM","28","URB_BULK out"
"1997","22.219435","1.6.3","host","USBCOM","42","URB_BULK in"
"2001","22.223685","1.6.3","host","USBCOM","66","URB_BULK in"
"2043","22.418524","host","1.6.4","USBCOM","28","URB_BULK out"
"2045","22.420168","1.6.3","host","USBCOM","41","URB_BULK in"
"2051","22.424372","1.6.3","host","USBCOM","67","URB_BULK in"
"2091","22.619725","host","1.6.4","USBCOM","28","URB_BULK out"
"2093","22.620780","1.6.3","host","USBCOM","35","URB_BULK in"
"2099","22.625169","1.6.3","host","USBCOM","73","URB_BULK in"
"2137","22.823733","host","1.6.4","USBCOM","28","URB_BULK out"
"2141","22.825612","1.6.3","host","USBCOM","44","URB_BULK in"
"2145","22.829828","1.6.3","host","USBCOM","64","URB_BULK in"
"2163","23.026769","host","1.6.4","USBCOM","28","URB_BULK out"
"2165","23.030557","1.6.3","host","USBCOM","65","URB_BULK in"
"2169","23.034475","1.6.3","host","USBCOM","43","URB_BULK in"
"2181","23.230578","host","1.6.4","USBCOM","28","URB_BULK out"
"2183","23.230995","1.6.3","host","USBCOM","28","URB_BULK in"
"2187","23.235393","1.6.3","host","USBCOM","75","URB_BULK in"
"2191","23.239226","1.6.3","host","USBCOM","32","URB_BULK in"
"2215","23.434462","host","1.6.4","USBCOM","28","URB_BULK out"
"2217","23.435829","1.6.3","host","USBCOM","39","URB_BULK in"
"2221","23.440166","1.6.3","host","USBCOM","69","URB_BULK in"
"2227","23.636014","host","1.6.4","USBCOM","28","URB_BULK out"
"2229","23.636450","1.6.3","host","USBCOM","28","URB_BULK in"
"2233","23.640886","1.6.3","host","USBCOM","76","URB_BULK in"
"2237","23.644658","1.6.3","host","USBCOM","31","URB_BULK in"
"2241","23.837710","host","1.6.4","USBCOM","28","URB_BULK out"
"2243","23.841520","1.6.3","host","USBCOM","65","URB_BULK in"
"2247","23.845448","1.6.3","host","USBCOM","43","URB_BULK in"
"2251","24.038693","host","1.6.4","USBCOM","28","URB_BULK out"
"2253","24.042182","1.6.3","host","USBCOM","61","URB_BULK in"
"2257","24.046160","1.6.3","host","USBCOM","47","URB_BULK in"
"2303","24.239729","host","1.6.4","USBCOM","28","URB_BULK out"
"2307","24.242856","1.6.3","host","USBCOM","58","URB_BULK in"
"2311","24.246903","1.6.3","host","USBCOM","50","URB_BULK in"
"2341","24.441255","host","1.6.4","USBCOM","28","URB_BULK out"
"2343","24.443453","1.6.3","host","USBCOM","47","URB_BULK in"
"2347","24.447633","1.6.3","host","USBCOM","61","URB_BULK in"
"2369","24.641902","host","1.6.4","USBCOM","28","URB_BULK out"
"2371","24.644158","1.6.3","host","USBCOM","48","URB_BULK in"
"2375","24.648340","1.6.3","host","USBCOM","60","URB_BULK in"
"2393","24.855782","host","1.6.4","USBCOM","28","URB_BULK out"
